"TestID","FlowID","StepIndex","Priority","Category","Subcategory","EntryPoint","MenuPath","ControlOrButton","ScenarioType","SetupProfile","Preconditions","ActionSteps","ExpectedUIResult","ExpectedGameplayResult","ExpectedFinanceOrStateChange","ExpectedPersistenceResult","ExpectedNotificationOrFeedback","ExpectedSuccessOrProgress","NegativeOrEdgeCondition","PassCriteria","DebugOnly"
"LSOL-0146","EDGE-04","1","P2","Vehicles","Garage Capacity And Reserve Limits","Office Menu","Office > Garage > Vehicle","Move To Reserve; Activate Garage; Retrieve Vehicle","Negative","FleetOwner","Office garage limit is enabled and the active garage is already at capacity.","Attempt to move another reserve vehicle into the active garage when capacity is full; attempt to retrieve a reserve-only vehicle without activating it first.","Garage menus remain stable and do not misreport counts.","No invalid active-garage assignment or retrieval occurs.","No finance change.","Garage counts remain correct after save/load.","Current garage-capacity blocker message appears according to the attempted action.","Full Garage progress should not change on blocked moves.","Garage-capacity rules must not be bypassed by reserve activation or retrieval paths.","Pass if over-capacity garage actions are blocked and counts remain correct.","No"
"LSOL-0147","EDGE-05","1","P2","Properties","Arrears And Suspended Access","Office or Apartment Marker","Office Menu or Apartment Menu","Activate Office; Activate Apartment; Enter Apartment; service rows","Negative","OfficeOwner","An office or apartment has outstanding arrears on a prepared save.","Open the overdue office or apartment menu; attempt actions that require current access before settling arrears.","Menus show Settle Office Arrears or Settle Apartment Arrears and withhold normal active-use actions according to current rules.","Blocked access prevents suspended property systems from being used until arrears are paid.","No unintended finance change beyond any arrears payment actually made.","Arrears state persists after save/load until settled.","Outstanding balance text remains visible and the blocked action does not complete.","Property-access successes should not change from blocked actions.","Suspended access must block current property-use actions until arrears are settled.","Pass if arrears gating works consistently for overdue office or apartment states.","No"
"LSOL-0148","EDGE-06","1","P2","Save System","Invalid Save Names","F7","F7 > Saving Options > Create new save","Create new save","Negative","FreshCareer","Create new save input can be opened.","Open Create new save; submit a blank name; repeat with a duplicate existing save name.","The setup page does not open for invalid input.","No new named save is created.","No finance change.","No extra save file appears in LSOLSaves.","Save creation cancelled.; Enter a valid save name.; A save with that name already exists.","No success progress changes.","Blank or duplicate save names must not create a hidden or partial save slot.","Pass if invalid save names are rejected with the current messages and no file is created.","No"
"LSOL-0149","EDGE-07","1","P2","Successes","Precondition Negative Unlocks","Gameplay","Success tracker negative conditions","Hire NPC; Take loan; complete deliveries","Negative","SuccessNearUnlock","Profiles are staged near the unlock thresholds for Self-Made, No Debt Needed, and Solo Grinder but the disqualifying action has already occurred or will occur first.","Hire an NPC before the million-dollar pre-NPC threshold; take a loan before the million-dollar pre-loan threshold; hire an NPC before reaching 100 deliveries before first NPC; then cross the numeric thresholds.","The affected success rows remain LOCK with progress text but never change to DONE.","No special gameplay effect beyond the continued locked state.","Tracked balances or counts can cross the numeric thresholds without unlocking the disqualified successes.","The locked state persists after save/load.","No success-unlocked toast appears for the disqualified success.","Self-Made, No Debt Needed, or Solo Grinder remain locked after their disqualifying event.","Pre-history-based successes must not unlock retroactively after the disqualifying action has happened.","Pass if each disqualified success stays locked even when its numeric threshold is later reached.","No"
"LSOL-0150","EDGE-08","1","P2","Special Missions","Cancel Or Fail Does Not Count","F8 and Mission Runtime","F8 > Missions or active mission runtime","Cancel Mission; fail objective","Negative","MissionReady","Mission counts are below a success threshold and a mission can be cancelled or failed deliberately.","Accept a mission; cancel it on one run; fail it on another; inspect completion count and mission-related success rows afterward.","Mission board returns to a non-active state without adding a new completion count entry.","Cancelled or failed mission state cleans up without paying out a completion reward.","No mission reward is added on cancel or failure.","Cancelled or failed runs do not persist as completions after save/load.","Cancelled special mission: {Name}. or Mission failed: {Name}. {Detail}.","Special Contractor, Regular Contractor, and Expert Contractor do not advance from cancel or fail outcomes.","Cancel or fail must not increment completion counters or unlock contractor successes.","Pass if mission counts and success progress ignore cancelled or failed runs.","No"
"LSOL-0151","EDGE-09","1","P2","Dispatch","Diagnostics Filter Empty States","F8","F8 > Company > Network > Dispatch Diagnostics","Filter","Edge","LateGameEmpire","Run once with no dispatch diagnostics and once with no failures under the failures-only filter.","Open Dispatch Diagnostics; inspect the All events state; switch Filter to Failures only when there are no failures.","The page shows No diagnostics captured in the all-events empty case and No recent failures in the failures-only empty case.","No gameplay change.","No finance change.","Filter state is a view preference only.","Filter changes do not crash the page and the expected empty-state copy appears.","None.","","Pass if both diagnostics empty states are distinct and correct.","No"
"LSOL-0152","EDGE-10","1","P2","Budget And Analytics","Fresh Save Empty States","F8","F8 > Budget or Analytics","Budget tile; Analytics tile","Edge","FreshCareer","A truly fresh save with little or no tracked finance or telemetry data is active.","Open Budget root and each subpage; open Analytics root and each subpage.","Empty-state pages render No tracked data, No bills queued, No route history, No inventory on hand, No industries tracked, No storage sites tracked, No districts tracked, or No NPC routes active where applicable.","No gameplay change.","No finance change.","Empty-state rendering persists on the fresh save until real data is generated.","All empty-state pages open and back out cleanly.","None.","","Pass if every empty-state surface remains readable and navigable on a fresh save.","No"
"LSOL-0153","EDGE-11","1","P2","Persistence","Complex Mid-State Reload","F7","Named save save-load cycle","Save game; Load save","Persistence","LateGameEmpire","The current save includes active loan, NPC contract, running mission or cooldown state, analytics history, notifications preference, and success progress.","Save during a mixed mid-progression state; change the world; reload the slot; inspect bank, missions, NPC contracts, Budget, Analytics, Successes, and Notifications.","Each inspected page opens with the saved state rather than the post-save modified state.","The mixed mid-state snapshot restores coherently across systems.","Saved balance, loan numbers, payroll state, mission state, and preference state are restored without duplicates.","Complex cross-system metadata persists together on the active save.","Saved {SaveName}.; Loaded save {SaveName}.","Unlocked successes remain unlocked and in-progress values revert to the saved snapshot.","Cross-system save reload must not double-process payroll, loans, or mission rewards.","Pass if the save restores mixed in-progress systems without desynchronization.","No"
"LSOL-0154","DBG-01","1","DEBUG","Debug","F9 Root","F9","F9 > Debug","F9; Close","Debug","LateGameEmpire","The debug menu hotkey is available in the current branch.","Press F9; inspect the root menu; close it.","Debug opens with the current root rows and subtitle ALT + W (Debugger attached) when applicable.","No shipping gameplay change should occur from inspection alone.","No finance change.","None.","Debug root opens and closes cleanly.","None.","Debug-only developer surface.","Pass if the F9 debug root opens and closes without affecting normal save state.","Yes"
"LSOL-0155","DBG-02","1","DEBUG","Debug","Trigger Missions Menu","F9","F9 > Debug > Trigger missions","Trigger missions; Back","Debug","MissionReady","Mission packs are loaded on the current build.","Open F9 > Trigger missions; inspect the mission rows and Back behavior.","Trigger Missions lists loaded mission definitions or No custom missions loaded when empty, then returns to Debug on Back.","No mission starts until a row is activated.","No finance change from inspection alone.","None.","Debug mission list reflects current mission packs.","None.","Debug-only developer surface.","Pass if the debug mission list reflects loaded mission packs and returns to Debug cleanly.","Yes"
"LSOL-0156","DBG-03","1","DEBUG","Debug","Add Money","F9","F9 > Debug","Money amount; Add money","Debug","LateGameEmpire","Debug menu is open.","Change the Money amount selector; activate Add money.","Money amount selector updates and Add money can be activated.","Company balance increases by the selected debug amount.","Balance increases by the exact selected debug value.","If saved, the new balance persists like any other balance change.","Added {Amount}. Balance is now {Balance}.","Money-based success progress may advance if a threshold is crossed.","Debug-only developer surface.","Pass if Add money applies the selected amount exactly once.","Yes"
"LSOL-0157","DBG-04","1","DEBUG","Debug","District Reputation Adjust","F9","F9 > Debug","District; Reputation amount; Increase district reputation; Decrease district reputation","Debug","LateGameEmpire","Debug menu is open and district data exists.","Cycle District; cycle District reputation amount; activate Increase district reputation; repeat with Decrease district reputation.","District and amount selectors update correctly.","Territory debug offsets change the selected district reputation view state.","No finance change.","Debug district offset is not a shipping-player persistence path.","District debug feedback appears according to the applied direction and amount.","Reputation-based success progress may change if the new district score crosses a tracker threshold.","Debug-only developer surface.","Pass if the selected district reputation changes by the chosen debug amount in each direction.","Yes"
"LSOL-0158","DBG-05","1","DEBUG","Debug","Apply District State To All","F9","F9 > Debug","District state; Apply district state to all","Debug","LateGameEmpire","Debug menu is open and district data exists.","Cycle District state; activate Apply district state to all.","District state selector updates correctly.","All districts move to the chosen debug state by recalculated debug offsets.","No finance change.","Debug district-state forcing is not a shipping-player persistence path.","Current district-state debug feedback appears after application.","Reputation-based success progress may change if the forced state changes tracker conditions.","Debug-only developer surface.","Pass if all districts reflect the selected forced debug state after activation.","Yes"
"LSOL-0159","DBG-06","1","DEBUG","Debug","Add Selected Resource","F9","F9 > Debug","Industry; Resource; Amount; Add selected resource","Debug","LateGameEmpire","Player is near a target industry and Debug is open.","Cycle the nearby Industry target, Resource, and Amount; activate Add selected resource.","Industry, resource, and amount selectors update correctly.","The selected nearby industry input or output stock increases by the selected tonnage.","No finance change.","Debug-added stock persists only if the resulting world state is saved like any other industry state.","Added {Tons}t {Resource} to {Industry}.","Commodity and production-related success progress should not change until real hauling occurs.","Debug-only developer surface.","Pass if the selected industry stock increases by the chosen debug tonnage.","Yes"
"LSOL-0160","DBG-07","1","DEBUG","Debug","Delete Vehicle And Cargo","F9","F9 > Debug","Delete vehicle cargo; Delete current vehicle","Debug","LateGameEmpire","Player is in or near a cargo vehicle and Debug is open.","Activate Delete vehicle cargo; then on a separate run activate Delete current vehicle.","Debug root remains open and usable after each action.","Cargo is cleared from the resolved vehicle or the current vehicle and trailer are deleted.","No finance change unless later gameplay reacts to the deleted asset.","Deleted runtime state persists only if the changed world state is saved.","Vehicle-cargo and vehicle-deletion status text appears according to the current target.","No success should unlock from pure debug deletion.","Debug-only developer surface.","Pass if cargo and vehicle deletion work on the current debug targets without crashing the session.","Yes"
"LSOL-0161","DBG-08","1","DEBUG","Debug","Fill Empty Buffers And Boost Production","F9","F9 > Debug","Fill all inputs; Empty all inputs; Fill all outputs; Empty all outputs; Boost production x1000","Debug","LateGameEmpire","Player is near a target industry and Debug is open.","Activate each current nearby-industry stock action once; then activate Boost production x1000.","Debug root remains open and usable after each action.","Nearby industry inputs or outputs fill or empty according to the chosen action and production rate increases by the debug multiplier.","No finance change from the debug actions themselves.","Debug-edited industry state persists only if the changed world state is saved.","Fill and empty status text appears for inputs and outputs; production boost status appears for the selected industry.","Production-related success progress should not change until real gameplay uses the new state.","Debug-only developer surface.","Pass if each debug stock action and the production boost modify the nearby industry exactly once without breaking the menu.","Yes"
